                     date locationtest  value abbreviation location  population
location_name                                                                  
Delaware       2020-01-24           10      0           DE       10    973764.0
Delaware       2020-01-25           10      0           DE       10    973764.0
Delaware       2020-01-26           10      0           DE       10    973764.0
Delaware       2020-01-27           10      0           DE       10    973764.0
Delaware       2020-01-28           10      0           DE       10    973764.0
...                   ...          ...    ...          ...      ...         ...
Delaware       2021-01-07           10   1220           DE       10    973764.0
Delaware       2021-01-08           10    554           DE       10    973764.0
Delaware       2021-01-09           10    972           DE       10    973764.0
Delaware       2021-01-10           10    798           DE       10    973764.0
Delaware       2021-01-11           10    554           DE       10    973764.0

[354 rows x 6 columns]

                   mean       std    median      5.0%     95.0%     n_eff     r_hat
a_raw_init[0]      0.00      0.00      0.00      0.00      0.00   1947.18      1.00
a_raw_init[1]      0.00      0.00      0.00      0.00      0.00   2031.37      1.00
a_raw_init[2]      0.00      0.00      0.00      0.00      0.00   2007.63      1.00
a_raw_init[3]      0.35      0.00      0.35      0.34      0.36   1168.12      1.00
a_raw_init[4]      0.44      0.00      0.44      0.44      0.45    941.79      1.00
a_raw_init[5]      0.33      0.00      0.34      0.33      0.34   1137.06      1.00
a_raw_init[6]      0.00      0.00      0.00      0.00      0.00   2050.04      1.00
a_raw_init[7]      0.29      0.00      0.29      0.29      0.30   1265.38      1.00
a_raw_init[8]      0.23      0.00      0.23      0.23      0.24   1238.61      1.00
a_raw_init[9]      0.21      0.00      0.21      0.20      0.22   1516.00      1.00
    beta_1[0]      0.00      0.00      0.00     -0.00      0.00   1026.73      1.00
    beta_1[1]      0.00      0.00      0.00     -0.00      0.00    953.63      1.00
    beta_1[2]      0.00      0.00      0.00     -0.00      0.00    602.16      1.00
    beta_1[3]      0.00      0.00      0.00     -0.00      0.00    597.89      1.00
    beta_1[4]      0.00      0.00      0.00     -0.00      0.00    463.79      1.00
    beta_1[5]      0.00      0.00      0.00     -0.00      0.00    418.99      1.00
    beta_1[6]      0.00      0.00      0.00     -0.00      0.01    351.57      1.00
    beta_1[7]      0.00      0.00      0.00     -0.00      0.00    311.89      1.00
    beta_1[8]      0.00      0.00      0.00     -0.00      0.01    298.87      1.00
    beta_1[9]      0.00      0.00      0.00     -0.00      0.01    254.64      1.00
   beta_1[10]      0.00      0.00      0.00     -0.00      0.01    238.59      1.00
   beta_1[11]      0.00      0.00      0.00     -0.00      0.01    228.65      1.00
   beta_1[12]      0.00      0.00      0.00     -0.00      0.01    208.40      1.00
   beta_1[13]      0.00      0.00      0.00     -0.00      0.01    193.51      1.00
   beta_1[14]      0.00      0.00      0.00     -0.00      0.01    189.00      1.00
   beta_1[15]      0.00      0.00      0.00     -0.00      0.01    185.98      1.00
   beta_1[16]      0.00      0.00      0.00     -0.00      0.01    169.81      1.00
   beta_1[17]      0.00      0.00      0.00     -0.00      0.01    154.67      1.00
   beta_1[18]      0.00      0.00      0.00     -0.00      0.01    143.53      1.00
   beta_1[19]      0.00      0.00      0.00     -0.00      0.01    149.20      1.00
   beta_1[20]      0.00      0.00      0.00     -0.00      0.01    140.31      1.00
